su_id,xgb_prob
898,0.0036769924
899,0.004788025
900,0.99483645
901,0.74873745
902,0.011848697
903,0.005905661
904,0.008024878
905,0.67412376
906,0.9958016
907,0.008449797
908,0.30932704
909,0.2579103
910,0.30264634
911,0.009229048
912,0.9601143
913,0.6111546
914,0.0060445303
915,0.010815989
916,0.9946214
917,0.0125062065
918,0.007731853
919,0.001769469
920,0.011200463
921,0.97715557
922,0.9718341
923,0.008116524
924,0.011891808
925,0.005507043
926,0.9376406
927,0.0050916905
928,0.4813025
929,0.8865407
930,0.005830105
931,0.99521196
932,0.008581525
933,0.99360526
934,0.9937191
935,0.95291597
936,0.008137623
937,0.9942163
938,0.10070409
939,0.8659491
940,0.9910177
941,0.009441666
942,0.7632107
943,0.9944924
944,0.9916074
945,0.8739803
946,0.8487469
947,0.9808358
948,0.8267706
949,0.97487736
950,0.008055302
951,0.013048015
952,0.9715459
953,0.95908225
954,0.0027813164
955,0.003822279
956,0.012890885
957,0.0060882866
958,0.019725656
959,0.008610592
960,0.0052757254
961,0.00994859
962,0.010603059
963,0.012203665
964,0.97324985
965,0.006368593
966,0.011365126
967,0.0052239005
968,0.20077667
969,0.5989279
970,0.011147661
971,0.0155055905
972,0.017052317
973,0.007835112
974,0.011583738
975,0.9959186
976,0.0038624683
977,0.00973873
978,0.007732614
979,0.09445806
980,0.17772318
981,0.0079940045
982,0.009852731
983,0.016238872
984,0.011432644
985,0.0065886015
986,0.004356635
987,0.0056467126
988,0.014766347
989,0.00902395
990,0.014193807
991,0.022704665
992,0.0063830656
993,0.04021332
994,0.051085476
995,0.004321702
996,0.004518055
997,0.0076724207
998,0.0071289544
999,0.031256165
1000,0.0075479774
1001,0.0055392473
1002,0.018525224
1003,0.0017183683
1004,0.005684233
1005,0.094689846
1006,0.008331172
1007,0.7541237
1008,0.87748224
1009,0.007944301
1010,0.0058666593
1011,0.016794644
1012,0.93448675
1013,0.9060232
1014,0.82872474
1015,0.95348006
1016,0.9892699
1017,0.97342664
1018,0.004828267
1019,0.24936979
1020,0.010571665
1021,0.0084393
1022,0.019344887
1023,0.014082755
1024,0.6005415
1025,0.007926984
1026,0.089620546
1027,0.0058512194
1028,0.011662791
1029,0.47750357
1030,0.020126577
1031,0.0152109545
1032,0.008730677
1033,0.0032686065
1034,0.009439112
1035,0.008184661
1036,0.007090954
1037,0.01617122
